# ID           RA              DEC              zmag_auto     zmag_col      Ks_col        z50              z025             z975             zspec            lmass         density
G017413        28.385478       -14.187803       22.9035       22.9134       99.0000       0.67520000       0.66280000       0.68740000       -1.0000000       9.48509      0.530882
G017358        28.129735       -14.188639       21.6178       21.7252       18.9538       0.63790000       0.63040000       0.64570000       -1.0000000       10.3551       2.48531
G017357        28.158763       -14.187872       22.9959       23.0749       99.0000       0.75350000       0.74030000       0.77340000       -1.0000000       9.39390       2.75104
G017425        28.126751       -14.187960       21.9109       21.9425       19.0179       0.80230000       0.78140000       0.82800000       -1.0000000       10.0824       26.4553
G017526        28.221475       -14.188272       21.2994       21.3557       18.2940       0.61980000       0.60540000       0.63340000       -1.0000000       10.5184       2.52182
G017548        28.388775       -14.187809       22.2590       22.3013       99.0000       0.74670000       0.73020000       0.76660000       -1.0000000       10.2072      0.854940
G017572        28.108760       -14.188113       21.9798       22.0966       19.6571       0.68900000       0.67210000       0.70670000       -1.0000000       9.72545       4.61540
G017625        28.262977       -14.186695       22.4952       22.5010       20.0857       0.60250000       0.59230000       0.63260000       -1.0000000       9.60454       8.43239
G017460        28.131322       -14.187550       23.0091       22.9965       20.6827       0.62290000       0.60500000       0.63730000       -1.0000000       9.78141       2.23084
G017501        28.038924       -14.189023       20.9757       21.1474       18.2776       0.78080000       0.76530000       0.79970000       -1.0000000       10.7259       47.8792
G017441        28.246171       -14.187383       23.0499       23.1729       21.4452       0.68660000       0.67610000       0.69810000       -1.0000000       9.24841       3.13964
G017524        28.251195       -14.187273       22.4437       22.4408       18.9289       0.84990000       0.83770000       0.99860000       -1.0000000       10.5957       22.9135
G017480        28.256330       -14.187575       23.1789       23.1833       20.9824       0.84620000       0.81900000       0.87480000       -1.0000000       9.32684       16.6947
G017514        28.154585       -14.187554       22.2982       22.3405       19.3528       0.73470000       0.71530000       0.75720000       -1.0000000       10.2831       2.18400
G017679        28.203696       -14.188167       22.2740       22.5432       19.0055       0.88410000       0.86840000       0.89980000       -1.0000000       10.6376       8.10918
